,RegionID,SizeRank,RegionName,RegionType,StateName,31-01-2018,28-02-2018,31-03-2018,30-04-2018,31-05-2018,30-06-2018,31-07-2018,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021
0,102001,0,United States,Country,322333.0,271617.0,272983.0,279333.0,288667.0,295633.0,299267.0,299900.0,299600.0,299267,298633,297267,294267,291567,292933,297967,306497,314463,320963,322433,319800,315600,312267,307267,303267,299800,301467,306500,313000,320650,328450,335450,340463,342630.0,344130.0,342800.0,338500.0,333633.0,333963.0,340597.0,353963.0,367283.0,378283.0,381583.0,379933.0,376633.0,375000.0,374967.0,372967.0
1,394913,1,"New York, NY",Msa,NY,517967.0,523000.0,534333.0,544667.0,554667.0,560000.0,560000.0,554833.0,549833,549833,550000,549667,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577667,579000,577667,579333,586000,594000,599000,602000,612300,628967,642892.0,649592.0,652926.0,657000.0,663633.0,668967.0,673567.0,675933.0,675933.0,669000.0,659667.0,646333.0,639667.0,636333.0,638000.0,642667.0
2,753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798667.0,802667.0,818000.0,835000.0,848300.0,849633.0,841300.0,824296.0,802296,785629,772667,761633,752967,749633,761300,778266,804600,824300,840333,847000,845667,845967,845967,848967,849333,865963,882963,887129,882500,892167,924333,955633,967600.0,972933.0,978300.0,989667.0,997600.0,999200.0,1007867.0,1008267.0,1008333.0,999666.0,992990.0,975657.0,952623.0,940967.0,936633.0,941667.0
3,394463,3,"Chicago, IL",Msa,IL,301497.0,305967.0,319467.0,336133.0,346133.0,348600.0,344933.0,338267.0,330967,324933,318300,309933,303267,306600,319633,336000,345833,348167,345067,338533,331533,324933,319633,311300,306333,309967,320800,328800,332167,336500,343467,348467,349967.0,349667.0,346000.0,339663.0,331663.0,331997.0,338300.0,346633.0,352967.0,354667.0,354633.0,348267.0,339933.0,332967.0,327300.0,322267.0
4,394514,4,"Dallas-Fort Worth, TX",Msa,TX,341666.0,345000.0,351648.0,359745.0,366079.0,365931.0,359467.0,351100.0,344567,341233,339600,337967,335333,335633,340600,348267,354933,356300,354600,349600,344933,341633,339997,338330,335293,334512,336178,339182,343133,348133,354800,358267,359933.0,359267.0,356787.0,353454.0,350820.0,351813.0,356146.0,364480.0,374333.0,383333.0,390000.0,393333.0,395967.0,396630.0,398297.0,401330.0
5,394974,5,"Philadelphia, PA",Msa,PA,252630.0,249633.0,253833.0,260800.0,270133.0,275967.0,279300.0,278267.0,276039,274073,271101,265828,257828,254133,257967,267633,279000,287633,292967,293300,293333,293967,293967,290633,286333,286300,289633,294633,301333,311333,323333,333000,336300.0,337933.0,334933.0,331600.0,324933.0,321597.0,321630.0,326630.0,331633.0,336300.0,333000.0,329633.0,324963.0,324963.0,321663.0,313333.0
6,394692,6,"Houston, TX",Msa,TX,316462.0,318775.0,322112.0,326851.0,330434.0,331746.0,328635.0,323749.0,317555,314167,310910,309281,307816,309119,312376,317262,321138,322441,320780,317147,312910,310011,307809,305715,303435,302949,305695,308203,312601,317161,323122,327975,332413.0,336122.0,338109.0,336862.0,334700.0,333963.0,338942.0,346605.0,356635.0,365293.0,371552.0,372888.0,371255.0,370859.0,371192.0,371189.0
7,395209,7,"Washington, DC",Msa,DC,431330.0,431000.0,441367.0,452667.0,464667.0,474667.0,479667.0,476333.0,466665,461632,456598,449900,443233,443267,454967,471667,488167,496167,495900,489367,484700,483467,485167,483467,481633,486600,501600,513233,522933,531300,544408,551375,548625.0,540547.0,530580.0,522997.0,516000.0,513997.0,512630.0,518630.0,523933.0,528967.0,527467.0,522500.0,519166.0,518330.0,518330.0,514997.0
8,394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,389841.0,389841.0,391157.0,392637.0,394249.0,394578.0,394709.0,394413.0,394085,393789,393131,391815,390499,389841,391157,392473,394117,394446,397736,399381,399381,396421,396421,398065,398065,396536,397523,397194,396749,393789,394118,397078,400039.0,403296.0,402309.0,401322.0,399807.0,399870.0,401800.0,410133.0,425167.0,441667.0,456633.0,466633.0,474933.0,481633.0,488300.0,495000.0
9,394347,9,"Atlanta, GA",Msa,GA,309981.0,314933.0,323600.0,335300.0,344667.0,349633.0,344933.0,337933.0,329633,324833,320742,317375,313842,313267,316966,326666,338000,344333,344617,339917,334883,330300,327000,325000,323596,323596,325630,327167,330500,336735,344568,351235,354667.0,356333.0,354667.0,351633.0,349933.0,351567.0,358663.0,375030.0,390063.0,402283.0,405616.0,405616.0,403000.0,399967.0,399933.0,399767.0
